text,label,signal
I buy unnecessary my items,Mild_Stress,overspending
I save my income,No_Stress,savings_habit
Sometimes I run out of my money,High_Stress,cash_shortage
I often grow my investments,No_Stress,investment
I often run out of my money,High_Stress,cash_shortage
Sometimes I miss my loan payment,High_Stress,debt
I struggle to have almost no my savings,High_Stress,cash_shortage
I struggle to struggle with my debt,High_Stress,debt
I struggle to spend too much on my online purchases,Mild_Stress,overspending
I add to my portfolio,No_Stress,investment
I struggle to build my savings,Mild_Stress,low_savings
I usually have almost no my savings,High_Stress,cash_shortage
Sometimes I have almost no my savings,High_Stress,cash_shortage
I often adjust my budget,Mild_Stress,income_pressure
I usually miss my loan payment,High_Stress,debt
I often cannot pay my credit card bill,High_Stress,debt
I struggle to track my expenses,No_Stress,financial_control
I often struggle to build my savings,Mild_Stress,low_savings
I monitor my spending,No_Stress,financial_control
I struggle to manage my monthly income,Mild_Stress,income_pressure
I usually run out of my money,High_Stress,cash_shortage
I often invest my earnings,No_Stress,investment
I often save my income,No_Stress,savings_habit
I usually spend too much on my online purchases,Mild_Stress,overspending
I usually manage my budget,No_Stress,financial_control
Sometimes I struggle with my debt,High_Stress,debt
Sometimes I struggle to build my savings,Mild_Stress,low_savings
Sometimes I delay my saving money,Mild_Stress,low_savings
I delay my saving money,Mild_Stress,low_savings
I invest my earnings,No_Stress,investment
I usually build my savings,No_Stress,savings_habit
I manage my budget,No_Stress,financial_control
Sometimes I grow my investments,No_Stress,investment
I struggle to miss my loan payment,High_Stress,debt
Sometimes I panic about my loan balance,High_Stress,loan_pressure
I often panic about my loan balance,High_Stress,loan_pressure
I usually delay my saving money,Mild_Stress,low_savings
I often manage my budget,No_Stress,financial_control
I usually add to my portfolio,No_Stress,investment
I struggle to stress over my EMI payments,High_Stress,loan_pressure
I usually adjust my budget,Mild_Stress,income_pressure
I struggle to lack my cash reserves,High_Stress,cash_shortage
I struggle to save little from my income,Mild_Stress,low_savings
I often lack my cash reserves,High_Stress,cash_shortage
I set aside my money,No_Stress,savings_habit
I usually stretch my salary,Mild_Stress,income_pressure
I often delay my saving money,Mild_Stress,low_savings
I miss my loan payment,High_Stress,debt
I often spend too much on my online purchases,Mild_Stress,overspending
I usually panic about my loan balance,High_Stress,loan_pressure
I adjust my budget,Mild_Stress,income_pressure
I often manage my monthly income,Mild_Stress,income_pressure
I usually invest my earnings,No_Stress,investment
I struggle to stretch my salary,Mild_Stress,income_pressure
I struggle to cannot pay my credit card bill,High_Stress,debt
Sometimes I add to my portfolio,No_Stress,investment
I struggle to overspend on my shopping,Mild_Stress,overspending
I usually grow my investments,No_Stress,investment
I have almost no my savings,High_Stress,cash_shortage
Sometimes I stress over my EMI payments,High_Stress,loan_pressure
Sometimes I build my savings,No_Stress,savings_habit
I often stress over my EMI payments,High_Stress,loan_pressure
Sometimes I monitor my spending,No_Stress,financial_control
I worry about my loan repayment,High_Stress,loan_pressure
I usually stress over my EMI payments,High_Stress,loan_pressure
I usually struggle with my debt,High_Stress,debt
I often track my expenses,No_Stress,financial_control
I often buy unnecessary my items,Mild_Stress,overspending
I manage my monthly income,Mild_Stress,income_pressure
I usually track my expenses,No_Stress,financial_control
I often stretch my salary,Mild_Stress,income_pressure
I struggle to delay my saving money,Mild_Stress,low_savings
I usually lack my cash reserves,High_Stress,cash_shortage
I struggle to grow my investments,No_Stress,investment
I usually worry about my loan repayment,High_Stress,loan_pressure
I struggle to monitor my spending,No_Stress,financial_control
I often have almost no my savings,High_Stress,cash_shortage
I spend too much on my online purchases,Mild_Stress,overspending
I lack my cash reserves,High_Stress,cash_shortage
I struggle to invest my earnings,No_Stress,investment
Sometimes I worry about my loan repayment,High_Stress,loan_pressure
I usually buy unnecessary my items,Mild_Stress,overspending
Sometimes I spend too much on my online purchases,Mild_Stress,overspending
I stress over my EMI payments,High_Stress,loan_pressure
I usually save my income,No_Stress,savings_habit
I struggle to panic about my loan balance,High_Stress,loan_pressure
I struggle to run out of my money,High_Stress,cash_shortage
I often worry about my loan repayment,High_Stress,loan_pressure
